,phone name,23 Delta mean,23 Theta mean,23 Alpha mean,23 Beta mean,23 Low Gamma mean,23 High Gamma mean
0,sil,0.0269775390625,0.02337646484375,0.03094482421875,0.03643798828125,-0.00043773651123046875,-0.042572021484375
1,sil,-0.5029296875,-0.431884765625,-0.576171875,-0.67626953125,0.0098114013671875,0.787109375
7,M,0.419189453125,1.44921875,0.63671875,0.1796875,0.52392578125,0.26806640625
8,sp,0.050018310546875,1.2314453125,-0.0243377685546875,-0.0254974365234375,0.252685546875,0.1939697265625
9,P,-0.33203125,0.6806640625,-0.4931640625,-0.60546875,-0.599609375,0.3740234375
10,R,0.27197265625,-0.148193359375,-0.40576171875,-0.69189453125,-0.61572265625,0.27197265625
11,AH0,3.140625,-0.338134765625,0.06103515625,-0.4921875,-0.4482421875,0.5791015625
12,F,6.62890625,0.7705078125,1.232421875,-0.62890625,-0.407470703125,0.5107421875
13,ER1,5.18359375,1.8603515625,1.2236328125,-0.53759765625,0.32666015625,0.5087890625
14,Z,0.9423828125,1.37109375,-0.2587890625,0.1737060546875,0.85693359375,0.75634765625
15,sp,-0.454833984375,0.63916015625,0.87353515625,0.8466796875,0.12384033203125,0.441162109375
16,N,-0.77099609375,1.009765625,0.4970703125,0.54541015625,-0.107177734375,-0.1658935546875
17,AY1,-0.73486328125,2.03515625,-0.0413818359375,-0.415771484375,-0.0806884765625,-0.24951171875
18,N,-0.771484375,2.66015625,1.4326171875,0.0662841796875,-0.1663818359375,-0.41455078125
19,T,-0.6484375,1.140625,1.3505859375,0.537109375,-0.10076904296875,-0.44677734375
20,IY1,-0.02606201171875,-0.517578125,-0.2086181640625,-0.11444091796875,-0.0511474609375,-0.3525390625
21,N,-0.11328125,-0.76953125,-0.509765625,-0.15234375,0.07952880859375,-0.053131103515625
22,sp,0.5498046875,-0.26123046875,0.497314453125,0.17431640625,-0.0020313262939453125,0.0228118896484375
23,D,-0.1314697265625,-0.2381591796875,0.86767578125,-0.051055908203125,-0.3916015625,-0.2252197265625
24,AA1,-0.1983642578125,-0.54736328125,-0.130126953125,0.1282958984375,0.01519012451171875,-0.254150390625
