,phone name,12 Delta mean,12 Theta mean,12 Alpha mean,12 Beta mean,12 Low Gamma mean,12 High Gamma mean
0,sil,0.0005273818969726562,-0.0919189453125,-0.040008544921875,-0.032867431640625,0.0299835205078125,0.032379150390625
1,sil,-0.00948333740234375,1.7119140625,0.73974609375,0.60302734375,-0.541015625,-0.591796875
7,M,-0.50634765625,0.99609375,-0.259765625,-0.116455078125,-0.57568359375,-0.58935546875
8,sp,0.5,1.1884765625,-0.06585693359375,-0.091796875,-0.57177734375,-0.484130859375
9,P,2.33203125,1.3134765625,-0.007415771484375,-0.267822265625,-0.5703125,-0.232666015625
10,R,3.69921875,1.689453125,0.7041015625,-0.5078125,-0.6806640625,-0.42626953125
11,AH0,2.25390625,2.0390625,0.50439453125,-0.4697265625,-0.724609375,-0.54736328125
12,F,0.410400390625,1.759765625,0.0992431640625,-0.43603515625,-0.7705078125,-0.75927734375
13,ER1,1.0517578125,1.3076171875,0.54638671875,-0.53662109375,-0.64794921875,-0.73876953125
14,Z,0.2440185546875,0.67138671875,0.32421875,-0.4755859375,-0.54736328125,-0.5283203125
15,sp,-0.6171875,-0.59326171875,-0.5791015625,-0.43896484375,-0.52490234375,-0.47412109375
16,N,-0.257080078125,-0.78466796875,-0.5859375,-0.25146484375,-0.44140625,-0.52294921875
17,AY1,-0.220703125,-0.80908203125,-0.084716796875,-0.04925537109375,-0.55810546875,0.0738525390625
18,N,-0.6005859375,-0.79638671875,-0.150634765625,-0.416748046875,-0.059661865234375,0.98046875
19,T,-0.8408203125,-0.546875,-0.60302734375,-0.455078125,0.552734375,0.7880859375
20,IY1,-0.791015625,-0.39599609375,0.1571044921875,-0.0853271484375,0.356689453125,0.59423828125
21,N,-0.6484375,-0.59228515625,0.123046875,-0.4736328125,-0.045928955078125,0.72998046875
22,sp,-0.92626953125,0.036346435546875,-0.06488037109375,-0.047149658203125,0.35595703125,-0.2724609375
23,D,-0.849609375,-0.291259765625,-0.400390625,-0.353759765625,0.81689453125,-0.10302734375
24,AA1,-0.5859375,-0.219970703125,-0.385498046875,-0.299560546875,0.439208984375,-0.038360595703125
25,R,1.1845703125,-0.1866455078125,-0.430908203125,-0.436279296875,0.126953125,0.2734375
26,K,1.798828125,-0.81396484375,-0.0648193359375,0.193603515625,0.2171630859375,0.826171875
27,sp,-0.39501953125,-0.439697265625,-0.6875,-0.65478515625,-0.216552734375,0.580078125
28,M,-0.6884765625,-0.1715087890625,-0.301513671875,0.4072265625,1.236328125,0.486083984375
29,EY1,-0.18994140625,-0.826171875,-0.254150390625,0.595703125,1.0810546875,0.3818359375
30,L,0.15673828125,-0.7265625,-0.423828125,-0.0736083984375,0.0284576416015625,0.209716796875
31,Z,-0.337158203125,-0.681640625,0.07550048828125,0.52490234375,0.18603515625,-0.37255859375
32,sp,-0.450927734375,-0.552734375,1.1640625,1.025390625,-0.5263671875,-0.5537109375
0,sil,0.65673828125,-0.68408203125,0.15087890625,0.662109375,0.3740234375,-0.4423828125
1,sil,-0.0655517578125,0.0682373046875,-0.0148773193359375,-0.0662841796875,-0.037200927734375,0.04388427734375
2,S,0.58544921875,-0.69189453125,0.053253173828125,0.74072265625,0.2493896484375,-0.59033203125
3,T,0.436279296875,-0.65673828125,0.1434326171875,0.422607421875,0.389404296875,-0.53076171875
4,IY1,0.1397705078125,-0.484130859375,-0.086669921875,0.032867431640625,0.270751953125,-0.478515625
5,V,-0.1585693359375,-0.310791015625,-0.369873046875,-0.432373046875,-0.2249755859375,-0.5087890625
